noise_type,noise_label,amount,amount_level,param_label,feature,feature_group,model,rmse,r2,rmse_delta,rmse_pct
gaussian,Gaussian (Additive),0.05,0,σ (std dev),MonsoonIntensity,Physical / Environmental,Linear Regression,2.7774455190867846e-05,0.9999996902654875,2.7774455190756976e-05,25051788714163.78
gaussian,Gaussian (Additive),0.05,0,σ (std dev),MonsoonIntensity,Physical / Environmental,XGBoost,0.010984615125061605,0.9515528546854783,5.4795841325410224e-05,0.5013426105493584
gaussian,Gaussian (Additive),0.05,0,σ (std dev),TopographyDrainage,Physical / Environmental,Linear Regression,3.072477827989755e-05,0.9999996209678776,3.0724778279786686e-05,27712898361761.406
gaussian,Gaussian (Additive),0.05,0,σ (std dev),TopographyDrainage,Physical / Environmental,XGBoost,0.010939512906881905,0.9519498804888974,9.693623145710234e-06,0.08868969279423085
gaussian,Gaussian (Additive),0.05,0,σ (std dev),RiverManagement,Infrastructure,Linear Regression,3.0514768020508054e-05,0.9999996261316962,3.0514768020397184e-05,27523474928974.023
gaussian,Gaussian (Additive),0.05,0,σ (std dev),RiverManagement,Infrastructure,XGBoost,0.010866831454174379,0.9525862435574565,-6.298782956181553e-05,-0.5762934219373853
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Deforestation,Human / Land Use,Linear Regression,2.9499742542229178e-05,0.999999650590303,2.9499742542118308e-05,26607950082610.96
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Deforestation,Human / Land Use,XGBoost,0.010802009977534575,0.9531502098060395,-0.00012780930620161918,-1.1693633982750489
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Urbanization,Human / Land Use,Linear Regression,3.171578930533018e-05,0.9999995961226014,3.171578930521931e-05,28606762837303.195
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Urbanization,Human / Land Use,XGBoost,0.01095426496731847,0.9518202008200904,2.444568358227553e-05,0.22366045538054988
gaussian,Gaussian (Additive),0.05,0,σ (std dev),ClimateChange,Socio-Political,Linear Regression,2.8890281877365077e-05,0.999999664878678,2.8890281877254207e-05,26058233456275.47
gaussian,Gaussian (Additive),0.05,0,σ (std dev),ClimateChange,Socio-Political,XGBoost,0.010908377265571447,0.9522230082354554,-2.1442018164747473e-05,-0.1961790731220383
gaussian,Gaussian (Additive),0.05,0,σ (std dev),DamsQuality,Infrastructure,Linear Regression,3.235750257880472e-05,0.9999995796137612,3.2357502578693853e-05,29185570422609.44
gaussian,Gaussian (Additive),0.05,0,σ (std dev),DamsQuality,Infrastructure,XGBoost,0.010960386693682376,0.9517663357800429,3.056740994618161e-05,0.27966985686274404
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Siltation,Physical / Environmental,Linear Regression,3.093458994318388e-05,0.9999996157735757,3.0934589943073016e-05,27902142666368.523
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Siltation,Physical / Environmental,XGBoost,0.01087102058766367,0.9525496807672766,-5.87986960725248e-05,-0.5379658578620647
gaussian,Gaussian (Additive),0.05,0,σ (std dev),AgriculturalPractices,Human / Land Use,Linear Regression,2.7836331653400492e-05,0.9999996888838854,2.7836331653289622e-05,25107599568241.793
gaussian,Gaussian (Additive),0.05,0,σ (std dev),AgriculturalPractices,Human / Land Use,XGBoost,0.010882982159745338,0.9524452025044499,-4.683712399085674e-05,-0.4285260604496122
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Encroachments,Human / Land Use,Linear Regression,3.082656609750458e-05,0.9999996184523341,3.082656609739371e-05,27804708151831.227
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Encroachments,Human / Land Use,XGBoost,0.010880111510603507,0.952470286646333,-4.970777313268761e-05,-0.45479043927701385
gaussian,Gaussian (Additive),0.05,0,σ (std dev),IneffectiveDisasterPreparedness,Socio-Political,Linear Regression,2.8016327952792016e-05,0.9999996848473762,2.8016327952681146e-05,25269951241054.746
gaussian,Gaussian (Additive),0.05,0,σ (std dev),IneffectiveDisasterPreparedness,Socio-Political,XGBoost,0.010897207541427319,0.9523208014424176,-3.2611742308875924e-05,-0.2983740303684883
gaussian,Gaussian (Additive),0.05,0,σ (std dev),DrainageSystems,Infrastructure,Linear Regression,2.6157665090311703e-05,0.9999997252760943,2.6157665090200833e-05,23593488858555.336
gaussian,Gaussian (Additive),0.05,0,σ (std dev),DrainageSystems,Infrastructure,XGBoost,0.010884125264378349,0.9524352120508363,-4.5694019357845825e-05,-0.4180674736849447
gaussian,Gaussian (Additive),0.05,0,σ (std dev),CoastalVulnerability,Physical / Environmental,Linear Regression,3.207564536181695e-05,0.9999995869055992,3.2075645361706086e-05,28931343025562.617
gaussian,Gaussian (Additive),0.05,0,σ (std dev),CoastalVulnerability,Physical / Environmental,XGBoost,0.010821923536003324,0.9529773149497083,-0.00010789574773287063,-0.9871686341001247
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Landslides,Physical / Environmental,Linear Regression,2.8776584686498792e-05,0.9999996675112157,2.8776584686387922e-05,25955681741636.473
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Landslides,Physical / Environmental,XGBoost,0.010955525873654972,0.9518091085723442,2.570658991877736e-05,0.23519684316308248
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Watersheds,Physical / Environmental,Linear Regression,3.356947560985114e-05,0.999999547532264,3.3569475609740275e-05,30278736502466.293
gaussian,Gaussian (Additive),0.05,0,σ (std dev),Watersheds,Physical / Environmental,XGBoost,0.010933748493098317,0.9520005057403358,3.9292093621228624e-06,0.03594944490957513
gaussian,Gaussian (Additive),0.05,0,σ (std dev),DeterioratingInfrastructure,Infrastructure,Linear Regression,3.176789273196028e-05,0.9999995947945133,3.176789273184941e-05,28653758683891.594
gaussian,Gaussian (Additive),0.05,0,σ (std dev),DeterioratingInfrastructure,Infrastructure,XGBoost,0.010818698660391661,0.9530053357937678,-0.00011112062334453325,-1.0166739308296078
gaussian,Gaussian (Additive),0.05,0,σ (std dev),PopulationScore,Human / Land Use,Linear Regression,2.66934138044999e-05,0.9999997139073239,2.669341380438903e-05,24076719348570.28
gaussian,Gaussian (Additive),0.05,0,σ (std dev),PopulationScore,Human / Land Use,XGBoost,0.010930867089450468,0.9520258013091618,1.0478057142736252e-06,0.00958667007269537
gaussian,Gaussian (Additive),0.05,0,σ (std dev),WetlandLoss,Physical / Environmental,Linear Regression,3.1640151601605044e-05,0.999999598046686,3.164015160149418e-05,28538539725111.34
gaussian,Gaussian (Additive),0.05,0,σ (std dev),WetlandLoss,Physical / Environmental,XGBoost,0.010887556536011339,0.9524052172777787,-4.22627477248555e-05,-0.38667380153067465
gaussian,Gaussian (Additive),0.05,0,σ (std dev),InadequatePlanning,Socio-Political,Linear Regression,3.0128460045035385e-05,0.9999996355379023,3.0128460044924515e-05,27175035842998.418
gaussian,Gaussian (Additive),0.05,0,σ (std dev),InadequatePlanning,Socio-Political,XGBoost,0.010988366449012032,0.9515197589479604,5.8547165275837226e-05,0.5356645316446966
gaussian,Gaussian (Additive),0.05,0,σ (std dev),PoliticalFactors,Socio-Political,Linear Regression,2.7106646028391855e-05,0.9999997049809425,2.7106646028280985e-05,24449443360318.684
gaussian,Gaussian (Additive),0.05,0,σ (std dev),PoliticalFactors,Socio-Political,XGBoost,0.010887121180835468,0.9524090234983317,-4.269810290072687e-05,-0.3906569888512481
gaussian,Gaussian (Additive),0.1,1,σ (std dev),MonsoonIntensity,Physical / Environmental,Linear Regression,0.00010965862863625095,0.9999951718125487,0.00010965862863614008,98909043450535.44
gaussian,Gaussian (Additive),0.1,1,σ (std dev),MonsoonIntensity,Physical / Environmental,XGBoost,0.010958623212153401,0.9517818557312027,2.8803928417206817e-05,0.26353526686454626
gaussian,Gaussian (Additive),0.1,1,σ (std dev),TopographyDrainage,Physical / Environmental,Linear Regression,0.00011540723150722543,0.9999946523306344,0.00011540723150711456,104094123897161.58
gaussian,Gaussian (Additive),0.1,1,σ (std dev),TopographyDrainage,Physical / Environmental,XGBoost,0.010809445317818687,0.9530856914394027,-0.00012037396591750744,-1.1013353724578638
gaussian,Gaussian (Additive),0.1,1,σ (std dev),RiverManagement,Infrastructure,Linear Regression,0.00011568281823935482,0.9999946267602031,0.00011568281823924395,104342695490674.95
gaussian,Gaussian (Additive),0.1,1,σ (std dev),RiverManagement,Infrastructure,XGBoost,0.010968135720468668,0.9516981089751647,3.831643673247315e-05,0.35056788898137436
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Deforestation,Human / Land Use,Linear Regression,0.00011255629154966552,0.9999949132774091,0.00011255629154955465,101522655079392.42
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Deforestation,Human / Land Use,XGBoost,0.010862984229374234,0.9526198097520796,-6.683505436196058e-05,-0.6114927669610473
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Urbanization,Human / Land Use,Linear Regression,0.00011804608893930444,0.9999944049791706,0.00011804608893919356,106474300155569.12
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Urbanization,Human / Land Use,XGBoost,0.010921244277042703,0.9521102307526857,-8.575006693491496e-06,-0.07845515530390598
gaussian,Gaussian (Additive),0.1,1,σ (std dev),ClimateChange,Socio-Political,Linear Regression,0.00011108679230271435,0.9999950452316467,0.00011108679230260348,100197207491045.31
gaussian,Gaussian (Additive),0.1,1,σ (std dev),ClimateChange,Socio-Political,XGBoost,0.010876303762484371,0.9525035490825062,-5.351552125182346e-05,-0.4896286010094943
gaussian,Gaussian (Additive),0.1,1,σ (std dev),DamsQuality,Infrastructure,Linear Regression,0.00011918256818183806,0.9999942967293561,0.00011918256818172718,107499372930766.53
gaussian,Gaussian (Additive),0.1,1,σ (std dev),DamsQuality,Infrastructure,XGBoost,0.011022494905135469,0.9512181444711856,9.267562139927445e-05,0.8479154045774366
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Siltation,Physical / Environmental,Linear Regression,0.000115532697817715,0.9999946406967524,0.00011553269781760412,104207291031477.72
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Siltation,Physical / Environmental,XGBoost,0.010805980474389965,0.9531157623037377,-0.00012383880934623004,-1.1330362024421103
gaussian,Gaussian (Additive),0.1,1,σ (std dev),AgriculturalPractices,Human / Land Use,Linear Regression,0.00010881731556580576,0.9999952456131267,0.00010881731556569488,98150202380980.58
gaussian,Gaussian (Additive),0.1,1,σ (std dev),AgriculturalPractices,Human / Land Use,XGBoost,0.010928537866178383,0.9520462444659029,-1.2814175578117898e-06,-0.0117240507326463
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Encroachments,Human / Land Use,Linear Regression,0.00011660847719320594,0.9999945404260876,0.00011660847719309506,105177614209115.53
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Encroachments,Human / Land Use,XGBoost,0.01087280615444187,0.9525340920429136,-5.70131292943251e-05,-0.5216292036883159
gaussian,Gaussian (Additive),0.1,1,σ (std dev),IneffectiveDisasterPreparedness,Socio-Political,Linear Regression,0.00010996692975366576,0.9999951446258496,0.00010996692975355489,99187122512780.61
